symbol	kidney_biopsy
ATAD3B	14
DDX11L17	0
PRDM16	32
PEX10	1
LINC01345	0
EEF1DP6	0
PEX14	34
LINC01646	2
LINC01777	0
LINC02782	6
PLCH2	404
SPSB1	60
SLC2A5	36
LINC02781	0
MTCYBP45	0
PLEKHM2	89
RPL22P3	1
NMNAT1	93
MFFP1	0
PGAM1P11	0
CCDC27	0
DISP3	0
MMEL1	0
TMEM51	402
WASH9P	0
FBXO42	52
ALDH4A1	3210
CLCN6	128
CELA2A	3
CELA2B	0
RER1	352
PANK4	22
ERRFI1-DT	1
VPS13D	244
RPL10P17	0
RBP7	7
GPR157	34
ZBTB40	226
NPHP4	15
HES5	0
MT1XP1	3
ARHGEF19-AS1	0
DYNLL1P3	2
SZRD1	139
PDIK1L	50
NECAP2	168
IGSF21-AS1	0
PPIAP34	0
LAPTM5	56
SLC30A2	66
PHACTR4	392
IFITM3P7	0
CNKSR1	4
FAM110D	13
MED18	141
EEF1A1P46	0
MMEL1-AS1	0
LINC01648	1
SLC9A1	20
LDLRAP1	51
ATP5IF1	2153
SDC3	32
PAFAH2	194
DNAJC8	199
SESN2	729
SERINC2	86
AJAP1	64
PTAFR	25
NKAIN1	0
SNRNP40	24
SLC25A33	153
GJB3	0
LINC01756	0
DNAJC16	309
EYA3	409
ZNF593	0
FABP3	140
EPHA2	87
LINC02780	2
ARHGEF19	0
KAZN-AS1	6
KAZN	207
CHCHD2P6	8
TNFRSF1B	46
TMEM51-AS2	0
LINC01226	10
UBE4B	152
TMEM51-AS1	10
PLA2G5	0
PTPRU	20
ZMYM6	77
FTLP18	0
GJB5	0
AGO4	46
CDCA8	8
CPLANE2	1
ZBTB8B	3
LINC02810	0
FTH1P1	1020
PAX7	0
EXTL1	8
CASZ1	63
AGMAT	969
DNALI1	48
RRAGC	162
SPCS2P4	14
GRIK3	0
PLA2G2D	0
YRDC	246
HNRNPFP1	0
CD24P1	0
GUCA2B	11
RCC2	3
HSPA5P1	1853
PSMB2	173
CASP9	105
DDI2	183
UQCRH	1360
MIR3659HG	3
RPS29P6	0
SELENOWP1	0
GPR199P	0
THRAP3	781
PADI6	0
PADI4	0
C1orf122	258
LINC01654	0
EPHA10	2
FHL3	10
RHBDL2	6
INPP5B	9
FAM183A	3
ZMYM4	168
UTP11	113
ACTN4P2	0
C1orf216	28
SHMT1P1	0
ACTL8	0
PHB1P12	1
RLF	374
CLSPN	4
GNL2	160
GJA4	37
TUBAP8	0
LINC02812	0
FCF1P6	12
MORN1	15
TUBBP10	0
TTC22	38
RPL6P1	10
TIE1	25
MYCBP	52
DLGAP3	1
GOT2P1	0
TMA16P2	1
RIMS3	6
ECHDC2	534
RAB3B	6
SMIM12	148
MRPS6P2	0
TMEM61	0
CYP4A26P	0
LINC02808	1
LINC02778	0
LINC01343	0
ERI3	19
CZIB	39
FAM151A	1
PODN	0
OSBPL9	334
PHB1P3	3
C1orf210	140
PARS2	26
ZYG11A	8
ZYG11B	657
LINC01755	0
CZIB-DT	1
ST3GAL3-AS1	0
L1TD1	1
TXNDC12	1
TXNDC12-AS1	0
SF3A3	159
FGGY-DT	4
DOCK7-DT	0
LAMTOR5P1	66
MTCO2P34	0
LINC01685	0
PIGQP1	0
TTC4	14
KLF17	1
PLPP3	771
RSPO1	0
SNIP1	263
RPS13P2	134
RPL23AP85	1
CPT2	59
FOXJ3	273
TUT4	684
GTF2F2P2	0
KLF18	0
RPS15AP7	1
GAPDHP51	0
PATJ-DT	3
LINC02791	0
CYP4A43P	0
MAGOH	677
DEPDC1-AS1	0
LINC01707	0
DLEU2L	15
CDKN2C	80
LRP8-DT	0
ELOCP18	0
C1orf87	1
ZSWIM5	22
OMA1	135
SLC35D1	117
HIGD1AP11	0
LRP8	30
TCEANC2	26
KTI12	34
LRRC42	109
PIGPP2	0
GDI2P2	3
LINC01360	0
LINC02567	0
KANK4	29
USP1	439
ERI3-IT1	0
RNFT1P2	2
AK5	22
ADH5P2	39
TXNP2	0
GIPC2	802
RPE65	0
ANGPTL3	551
KRT8P21	0
DNAJC6	71
AK4	5341
LEPROT	827
RPL31P12	13
LINC02796	0
NDUFS5P3	1
CACHD1	69
EFCAB7	58
LINC02238	0
MCOLN2	3
ST6GALNAC5	0
ATG4C	90
LINC02797	0
COX6CP13	0
TXN2P1	0
PDE4B-AS1	0
ASB17	0
ADGRL4	178
GJA9	2
MTF1	188
TTLL7	41
KDM4A	170
TTLL7-IT1	1
NEGR1-IT1	0
CAPNS1P1	0
LINC02777	6
LDC1P	1
ZNHIT6	173
MGC27382	0
MROH7	1
LINC01763	0
PTGFR	91
LINC02801	0
EEF1GP7	0
LMO4	464
PRPF38A	607
PIGK	143
HNRNPA3P12	0
ST6GALNAC3	46
PGBD4P8	0
MTND2P30	0
RPL7P10	0
PKN2-AS1	1
LINC02792	0
GUCA2A	0
SLC25A6P3	0
PSAT1P3	0
DOCK7	83
NEGR1	98
RPL36AP10	0
LINC01712	0
FAAH	20
KYAT3	55
SHISAL2A	6
HMGB1P18	0
DNTTIP2	719
HNRNPA1P64	0
PTPRF	416
DHCR24	324
PHKA1P1	0
COL24A1	6
BSND	67
GPX7	4
SLC44A3	81
ACTG1P21	0
LINC01362	1
PKN2	327
DAB1-AS1	0
MTCO1P21	0
LINC01364	0
MIR4422HG	0
ABCD3	366
MROH7-TTC4	0
ALG14	119
ZZZ3	288
YIPF1	305
HNRNPCP9	0
KATNBL1P2	1
LDLRAD1	0
GJB4	0
TMEM125	115
DMRTA2	1
HIVEP3	113
TM2D1	555
HMGB1P45	0
SCP2	1649
FAF1-AS1	1
MTND4P11	1
BCAR3	83
MTCO3P21	0
TBCAP2	4
BARHL2	0
OAZ1P1	0
DMAP1	31
AHCYL1	2415
CNN3	1929
OOSP1P1	0
VAV3	273
EEF1A1P11	17
LINC01361	0
RPS20P5	0
DPYD	42
TLCD4	48
H3P2	0
POU3F1	1
LRRC8D	183
S1PR1	170
NFU1P2	0
ELAPOR1	5
ARHGAP29	610
ST13P21	18
LINC02790	0
PGM1	141
IGSF21	2
COA7	89
RNPC3-DT	0
DPYD-IT1	0
OLFML3	12
GCLM	443
TGFBR3	419
CNOT7P2	19
VAV3-AS1	0
RPL21P23	1
RPL36AP12	1
ALG14-AS1	1
MTND3P21	0
ELAVL4-AS1	0
SZT2	34
LINC01349	0
PHTF1	46
RRAS2P1	0
RPSAP19	157
BCAS2P2	3
F3	255
FTH1P22	0
WARS2-IT1	0
LINC01739	1
DNAJA1P5	0
VCAM1	227
HSP90B3P	179
HSD3BP2	0
LINC01787	0
SEC63P1	358
CYP4A27P	0
LINC01708	0
MTATP6P13	0
LINC02787	0
GPR88	1
RWDD3	6
MAN1A2	2276
LRIG2-DT	7
LPAR3	1
LINC02868	0
LINC01753	0
DPYD-AS1	0
CTTNBP2NL	302
RBMX2P3	5
LINC01676	0
LINC01525	0
STRIP1	102
TPI1P1	5
SLC25A24	256
PIFO	7
LINC01650	0
TSPAN2	30
GAPDHP23	0
LINC01776	2
RPL26P9	0
LRIG2	39
SLC35A3	243
AGL	205
SLC6A17	7
CD101-AS1	0
HSD3B2	0
RPL7AP17	0
CHIAP3	0
RPS3AP12	13
GAPDHP64	0
RNPC3	191
SNX7	282
LINC01709	0
SLC30A7	168
SEC22B	44
CYP4A44P	0
PTGFRN	28
HSD3BP1	0
BCAS2	369
ZNF326	502
TENT5C-DT	1
TRIM45	4
RPS26P15	0
NBPF17P	0
SEPTIN2P1	0
DPYD-AS2	1
VANGL1	56
LINC02788	0
VPS25P1	0
LINC01780	7
TENT5C	129
LINC01731	0
GAPDHP74	0
KMT2CP3	0
MTND5P20	1
SYCP1	0
PIP5K1A	192
GDAP2	99
NEFHP1	0
VDAC2P3	0
FTLP17	0
HIGD1AP12	0
TSHB	0
WDR3	135
LINC02798	7
PSMC1P12	21
SLC22A15	22
SCNM1	70
FLG	8
ALX3	0
RPS15AP9	0
NHLH2	1
TRIM33	460
FLG-AS1	23
CDC14A	94
CD53	39
RLIMP2	0
MTIF2P1	58
FLG2	1
SRGAP2C	168
SPAG17	31
SRGAP2-AS1	0
TTF2	57
UBE2WP1	1
RPL6P2	2
SLC6A17-AS1	0
HNRNPA1P43	2
MAGI3	605
EIF2S2P5	1
KCNC4-DT	2
LINC01649	0
UBL4B	0
GABPB2	232
CD5L	0
LINC01761	0
CDK4P1	0
LINC01768	0
HAO2-IT1	3
TXNP3	0
LINC02772	1
RPS29P29	0
LYSMD1	15
ELOCP19	6
PNRC2P1	5
DENND2C	24
CD2	4
LINC02799	0
LINC01661	0
DEPDC1	2
PKMP1	2
PPIAP7	0
OR10AE1P	0
MRPS21P2	0
ELOCP20	0
GPR89A	289
NR1H5P	0
GTF2B	190
MTCO2P21	0
TNFSF4	5
HNRNPA1P68	0
PFN1P12	2
KCNJ9	0
CSF1	77
MTATP6P14	0
NKAIN1P1	0
DHCR24-DT	0
LINC02805	1
TNFAIP8L2	1
RGS5	950
FMO8P	0
RPL7AP19	0
NAP1L4P1	28
LMX1A-AS1	0
LINC01307	0
IGSF8	47
MPC2	549
TLCD4-RWDD3	0
SLC25A24P2	0
FMO11P	0
LINC00624	3
C1orf112	7
FAM78B	4
LAMC1	291
MGST3	1447
CASQ1	2
LINC01701	0
ILF2	392
TIPRL	326
NME7	10
RCSD1	54
FDPSP1	0
