symbol	A4_20	NBS1_40_2	NBS1_40Bleo_2	UJ_20	NBS1_20	NBS8_20	A4_40	NBS1_40	NBS1_40Bleo	UJ_40	UJ_40Bleo
OR4F5	5.57780041075372	6.06600327520169	6.07580049672027	5.94606459608536	6.11416275020665	5.62717167726301	6.31388234548928	5.87535189821499	5.99122185593648	6.4199649528049	5.45658669692835
SAMD11	7.3373050347761	7.53351994022523	7.43952826876595	7.25508915531818	7.33759276729405	7.63435110204099	7.74307978839305	8.0345072444263	7.83346900024544	7.81114199448143	7.64546388482664
KLHL17	7.66607636828954	7.71222040726293	7.78374063523233	7.74808604579612	7.71398673225824	7.86693496123372	8.21666031625816	7.90494693589691	8.07928439347883	7.85423210475137	7.6304642779336
PLEKHN1	6.70661411503401	6.61643816128834	6.63984699945152	6.68862131737043	6.64498422221966	7.09130567553517	7.13159308753985	6.72706685350067	6.65031555574745	6.76175089882098	6.72973606678474
ISG15	6.26551270744527	6.55644070173329	6.27305428867929	6.22642239155417	6.19985460734258	6.26817964104669	6.94976602736522	6.96889603963331	6.52026987487358	6.45087367655297	6.90326935162298
AGRN	8.06820636126209	8.14374696230295	8.10590396788459	8.25553870937114	7.89198736779536	8.44334344201726	8.56259753974629	8.15252546193362	8.43793542177969	8.09248212814507	8.42524490526286
LINC01342	4.63868852399571	5.52148947525526	5.28045671317275	5.4519221505603	5.18307861286767	5.29549813390737	5.90151360613614	5.80463002448464	5.84009707466499	5.53519224357322	5.53334271665615
TTLL10	6.91130323982322	7.29854173957326	6.66565382336639	7.17057485501069	6.63549581442264	6.91513794842465	7.37514510916945	7.07034023273479	7.42767196187125	7.22628471804802	7.05628423174925
B3GALT6	7.83527396297313	7.86291626313371	7.97790245099098	7.71131840347951	7.79818184651109	7.75398696175462	7.93324287836491	7.48340284409568	8.10240502839152	7.7367441519235	8.00437165099585
SCNN1D	6.05145217202749	6.33036944227148	6.02786244318533	6.12453913161171	6.32115306478666	6.33813983663708	7.07471071614206	6.59438753681585	6.38918303572352	6.93430315565808	6.1855049316723
PUSL1	7.3402256060478	7.526233995821	7.32995250894932	7.55135092421222	7.27434670035992	7.61211769304615	7.99476805177584	7.62260582041173	8.28663849874375	7.79233320122016	7.52011787823794
CPTP	7.0258428829438	7.09108566008901	7.16410175065136	7.09617640077565	7.09317016260835	7.11670301951417	7.31337101516709	7.09615680691077	7.18319227737315	7.00217316464193	6.65298650720993
TAS1R3	5.76066369688539	6.14770903549475	6.39677220769661	6.14037359922579	6.11684214017406	5.90712761448803	6.48142552860434	6.19433701764871	6.41179505173362	6.0733294916135	6.36086342478714
TMEM88B	6.59022176266177	7.15507719378598	7.13574842725093	7.24128660000622	7.10056297451263	7.27217200838682	8.15062945341622	7.09061907897528	7.33048045799356	6.57798698339068	7.14476294702345
VWA1	7.51061922726825	7.78655262860507	7.39578078334449	7.65572722448806	7.34707009149118	7.72700052611028	7.64635621168294	7.46671564050737	7.76690041623062	7.16343980036679	7.35421514466254
ATAD3C	5.2688387058234	5.51172217265681	5.18585240399812	5.45852086441162	4.55358978511091	5.45603712632097	5.76643901213642	5.36260102386458	5.45144242158759	5.08963100801916	4.95494399316012
MIB2	7.23587025050287	7.16067744421146	7.5076643131622	7.47745900886303	7.53219755802967	7.72528217700391	7.75727398302546	7.17759792074219	8.06051560104161	7.43175439369647	7.53786122755109
CALML6	5.80882357970849	6.30539144238122	6.06229863718369	6.06440839372402	5.81416211451708	6.23300057774153	6.63387022898872	6.60776290839719	6.5605657557804	5.8394626504627	6.37737247921996
GABRD	4.44398314022202	5.19081009600704	4.81129777388074	5.18895423187794	5.26354809515602	4.8817015626681	4.7627227730117	5.78683780143777	4.49986705030908	4.72827196484827	4.78027219264835
PRKCZ	8.36539610717859	9.55277831600855	10.1618247523482	8.50555182007875	8.25989387357457	8.50214106153326	8.88552659444438	9.20664141002338	9.55489134542513	9.13993956336252	9.43995375653786
SKI	7.24556709663784	6.38057783822613	6.70668635598926	7.40895828051077	7.46537373936296	7.43796260146882	6.74630706105044	6.99368647204957	6.86997046551502	6.68516573369818	6.97323190652256
RER1	8.7798884284085	8.08293667049234	8.07300778113107	8.6260367123604	8.68963349494386	7.73435668577966	7.79061100453142	8.32138719333265	8.23117321804449	8.3957583066025	8.03616416193027
FAM213B	8.27614194677974	8.57824464190821	8.43637804751481	8.7938385080652	8.61381898561881	8.60029073592442	8.96063652061487	8.51797121871348	8.79027920777427	8.66519764844603	8.56027094620331
ACTRT2	5.58555320211804	5.93170158396496	5.47577462227387	5.61577445159746	5.33198524119583	5.88856095555433	5.98328282605859	5.98855443501092	5.36700370672439	5.58663096416037	5.71759652145846
PRDM16	6.36491967471231	7.13391706818126	7.13007056343231	7.00952797520364	6.23753719817794	7.07049864446539	7.29860966983296	7.06904477613271	6.6496776954935	7.07097713714109	7.36329223928076
ARHGEF16	6.27140458736821	6.84273396727344	6.7390351367058	6.70490440845302	6.55247637622565	6.74493118620255	7.20202512512747	6.96288138622424	7.48807464537036	7.08441307237834	6.81127211107511
TPRG1L	8.9486238138112	8.50010466197782	8.58779118675569	8.93399650732071	8.67631120503075	8.5793751673218	8.81230587175584	8.73319869326629	8.70514965674137	8.49047239748545	8.55750405007247
TP73	6.09502169637201	6.72930853728278	6.26161872459402	6.35395586186657	6.14468040499601	6.64662652828952	7.05931936937279	6.54589800723707	6.92999661929129	6.34325266216843	7.4148226799791
CCDC27	5.05611735568064	4.82817147654609	5.34703575465479	5.4607485729097	5.56922433343379	5.25115342727535	5.0489142048668	6.10207415906076	5.67441599150415	5.29972452465026	4.82723823586034
SMIM1	7.45572365999102	7.41760275172922	7.25851070068148	7.176885927347	7.41313850452176	7.55031114370423	7.50198794984312	7.11836593092971	7.64794354559304	7.56336440423929	7.7355814946935
DFFB	6.72142161851155	6.39351435446724	6.80070241036961	6.55240122237084	6.57535128237489	6.44921346752376	6.43218207584049	6.68555077017632	6.60279846867702	6.76030754132239	6.69123811391858
AJAP1	5.51467849819276	5.61668177772007	4.27236615340123	6.48356650151589	5.14859403023305	6.61682638819831	6.65713548872792	4.98089850839816	5.20213054971081	7.21381762365816	6.9687301452099
KCNAB2	7.06504127589518	7.55437623374167	7.57191404038618	7.48749229446258	7.06631422908172	7.68096631029929	7.52955268661424	7.59564209365505	7.90898574313121	7.39205503298467	7.02627547340521
RNF207	7.0030316741641	7.16303890586347	6.82102960691049	7.1676817546564	7.16006608702431	6.94013771643634	7.66426450162674	7.10331064233207	7.18642494048982	7.15527164400321	7.30493307155947
LINC00337	7.08164206245554	7.27538656091073	7.09889835798947	7.31453442518012	7.13032564709805	7.29891862216015	7.80753540249961	7.55655118471602	7.82795306121628	7.35484030751939	7.33517021819734
HES3	8.50541717366462	7.0085276139713	6.90292993219382	7.18544695092657	7.85362363956084	7.76689440423077	7.49863076155114	7.29486057535166	7.55902296888089	7.12323754617195	7.28217630010245
