symbol	C2_72h_ctrl	C2_72h_bilirubin	UJ_24h_ctrl	UJ_24h_bilirubin	UJ_72h_ctrl	UJ_72h_bilirubin	C2_24h_ctrl	C2_24h_bilirubin
OR4F5	6.93125379831397	6.20401652577106	7.01847845663794	6.59437123549153	6.83004343407899	6.52117451934442	6.32845908412962	6.73992756014176
SAMD11	7.89669698113276	7.92228619857779	7.97573655795969	7.98900611116604	8.01638940155795	8.25045328920366	7.95855599969316	7.78920608146825
KLHL17	8.09136493311073	8.05809373407394	8.25798316902536	8.05264500196787	8.42775546951412	8.48895893013623	7.95721019550619	8.21279384079915
PLEKHN1	6.93516092959331	6.90599540712748	7.09322036249766	6.93934603575955	7.22235609956567	7.22614416598932	6.97151064844302	6.79490182353816
ISG15	7.07894838957818	7.14179655435705	6.9203228484906	6.82440836873032	7.08003571063605	7.01751195878025	7.12324397125986	7.02045342392776
AGRN	8.37504715253755	8.20916616725675	8.07715207729111	8.09307544902142	8.29496519840393	8.22221692827507	8.23149142756963	8.28753838638925
LINC01342	6.43708000975671	6.46005903641611	7.06382271358612	6.58934113819646	6.93940822358905	6.78035341775597	6.10063151593264	6.71704487450627
TTLL10	7.38475366326132	7.47810975065942	7.50307470581034	7.36036205589644	7.48599573057464	7.63318739639278	7.45502881322815	7.40281225150771
B3GALT6	8.1043988237609	8.09016650547802	7.37133567073387	7.69914182360506	7.63219709794735	7.36255639465645	8.14193438787063	8.03162471179897
SCNN1D	7.1602203268443	6.9984910265455	6.57025304220568	6.87819694215125	6.77043776992836	6.75160864346808	6.8575421918603	7.1690988880643
PUSL1	7.7084097518164	7.75732122478448	8.03257421773137	7.66444575685243	8.09187684857192	8.00374124464083	7.73911888993833	7.71466814772645
CPTP	7.31698615320305	7.4562657267444	7.21816146583314	7.33334357597032	7.15536080198761	7.38568229837496	7.43854378150401	7.41177737548546
TAS1R3	6.5036526537497	6.65552589818515	6.52189453248507	6.45379190362869	6.45875649494842	6.81450002720756	6.4013509987934	6.67601153702808
TMEM88B	7.00771923639986	7.06393728833818	7.34542411292444	7.10840495932714	6.80505446528187	7.03584412276019	7.01476222085549	7.00278562748334
VWA1	8.48618832051727	8.08626453611408	8.81280716104659	8.40061666052596	8.38310304833518	8.19157805541577	8.06287534413167	8.42307079285685
ATAD3C	5.81096026738078	5.7283910642416	5.50925846409226	5.59279714223653	5.51140028678333	5.35876324677249	5.80166224820503	5.71235504269165
MIB2	7.6546458367919	7.7244733833236	7.69087632255608	7.67415949609255	7.72156599312113	7.72668680234619	7.61826868831218	7.6963022595035
CALML6	6.59356442079989	6.59330638168155	7.00607334472659	6.45167769645268	6.3869604595452	6.92764930788405	6.47314293015604	6.64427182679724
GABRD	5.31327646347652	5.38043853979269	5.40270736733568	4.96072352588838	5.50108278820594	5.10896576053412	5.48426201485014	5.12229659872
PRKCZ	8.72932580544721	8.88871707731038	8.8801568105846	8.74301471705382	8.82501400493799	8.9192354841635	8.80471984672506	8.80537043173359
SKI	7.02958921347628	7.17832105746567	6.87402237118842	7.39111155946342	7.24877167770157	7.26122948937678	6.95785053506637	7.19732736902732
RER1	8.18676816551149	8.50755449149214	8.13736438944018	8.35742960952539	8.20687020966899	8.27836054991939	8.34369769116772	8.42138351273276
FAM213B	9.44550336565458	9.26579499035192	9.93767063003673	9.33352051169829	9.58490170529928	9.23161473147268	9.11487767409567	9.53176514799947
ACTRT2	6.8918972184372	6.31790820174469	7.35337464147103	6.78090256137535	6.41985065792484	6.46135670377211	6.40268384919686	6.70605914234383
PRDM16	8.78826868473608	8.84540072954639	8.51809248440987	8.17379858854481	8.45670600751655	8.47896518107711	8.88952971422037	8.75138205516613
ARHGEF16	7.32376422000843	7.30107823685781	7.39483350229507	7.40129883128612	7.36806688408006	7.68474083236952	7.30472589612768	7.28804699633076
TPRG1L	8.98219785204624	8.91909267889865	8.82514439292202	9.09330705231848	8.74071543517105	8.7834395025303	8.98259047261883	8.90567278438377
TP73	6.8199790582458	6.41994033556413	6.50932169141946	6.54748441249893	6.82068847923731	7.19573904202614	6.39890270403489	6.77168173579459
CCDC27	5.14583450914445	4.975836165551	5.02882540574465	5.55284287496163	5.43851446599299	5.51728675685366	4.93201400049504	5.14429705360358
SMIM1	7.83793185969769	7.97858869200032	8.21354273064295	7.99589654078846	8.07552586008176	7.95917508174317	7.90454068584625	7.84955468954794
DFFB	7.18175776735866	7.42804835619447	6.98496508358391	7.02075067948854	7.09435526810692	6.67745117834122	7.38396684067412	7.2422240017122
AJAP1	6.22630348942989	6.52197718499525	6.95359327492791	6.33028723380088	6.58727812690379	6.7392295126657	6.40104263601374	6.3380788563946
KCNAB2	7.96919276707806	8.29125422431381	8.15919018261579	7.7956650189279	7.96754117176366	8.07368795410049	8.03898288114788	8.20715072363377
RNF207	7.57587926766166	7.45002842233308	7.36328470227841	7.27240750763483	7.38983387510232	7.62988112253089	7.32828254698329	7.54648214985963
LINC00337	8.38730430660605	7.94735890558984	8.40558418793817	8.16809204675009	8.05879123854974	8.1561017054167	8.30494170697517	8.05544953088542
HES3	7.16932083713689	7.19705060865849	7.2175908779769	7.1286113024731	7.42722650938183	7.46375352785642	7.26814080277683	7.0888803144911
ESPN	8.88378858255635	8.57351997677812	8.55220343599625	8.53307863395797	8.4796289354728	8.68463511341884	8.67357041876286	8.6766698165541
TAS1R1	6.63295426091708	6.47200481627806	6.93780731022831	6.69989270572555	6.73364278039446	7.02164480185206	6.49913215720281	6.59247256562574
ZBTB48	6.15894697596606	6.52438252962939	5.55917723438573	6.26471260302592	5.88038791850901	6.24380532064788	6.58067458953148	6.08913583293483
PHF13	8.52368168029813	8.48935597891468	8.7447100255998	8.43006576204468	8.48144110547108	8.63939781597601	8.38910567845524	8.5722881158873
THAP3	7.46894075475648	7.36148188675839	7.27087877827274	7.18469607788489	7.36760911564634	7.23035046291637	7.65583918431548	7.27856940861896
CAMTA1	10.1228349323278	10.1620299777446	9.98296268089637	10.2539659308615	10.1779824881269	10.3564559101967	10.2720905527424	10.1727674515246
VAMP3	8.57726382452959	8.62994569802417	8.69105919442122	8.76310123982648	8.89176446937681	8.89050943789475	8.62603668675577	8.49190496723626
PER3	7.04408782781446	6.75469601275515	7.1281891127789	7.76986383635257	7.1913288889571	7.58477609996309	6.90761557017601	7.03156535410698
PARK7	10.6407464819187	10.6440760562979	10.8533427818215	10.9178197374546	10.7924056153033	10.832258264955	10.8048086279662	10.7890481348619
SLC45A1	7.00026644646666	6.79810781933179	7.24813529621174	6.69482337919627	6.74654174385481	7.01219546746657	6.82834522259455	6.87939723294424
ENO1	11.9777603685894	11.7724958115171	11.9230878052102	12.0145795687036	11.6837505745732	11.889154193796	12.0032791311211	11.7294440464281
CA6	5.91206374155288	5.49167893494552	6.15614501340968	5.39099253154431	5.86220804156595	5.80214640988451	5.39282556351378	5.84116447516055
H6PD	7.5110398716995	7.53721204537189	7.26752605373055	7.25487523277761	6.84002496110001	7.28835204777771	7.51275319391849	7.48060660133133
SPSB1	7.54815464818526	7.43848355490753	7.65912671414485	7.6382913092422	7.71761737315973	7.65056153115746	7.36875652834599	7.59296785639175
SLC25A33	7.24700793563474	7.52332473242496	7.51512579525672	8.05221313058939	7.54503312737598	7.53291935329293	7.5866303516611	7.28464471252489
TMEM201	9.12049692044524	8.8088350941672	9.31733866042146	8.89643685074623	9.00960442190938	9.29746153006478	8.79508938316436	9.05144515448147
PIK3CD	8.27118518153774	8.34109858796172	8.3069334078867	8.09723162116262	8.10819223265512	8.62922836295638	8.1263432188526	8.40475287888408
NMNAT1	7.50458445788611	7.89622721939321	7.79718539852681	8.07065340602825	7.5026918920049	7.45587484182315	7.65529413699731	7.78722494275858
RBP7	5.51206209190811	6.3289675360149	6.02439438594585	5.41117310168771	5.69381112691838	6.37343439921841	6.06842438222792	5.74055468822786
UBE4B	9.41633313538242	9.42797880133447	8.75415016828637	9.17324675323176	9.2154744372878	9.04366972085069	9.45706276354658	9.32330371337225
KIF1B	9.11064164386998	9.40178877421142	8.86718743750012	9.11218818735821	9.11496105531988	8.96591580762543	9.22275012585385	9.18536547273876
PGD	9.6991619487056	9.6685480570448	9.2005012839198	9.6367635163834	9.37876633593732	9.12015362598744	9.88545522437855	9.47120320416233
APITD1-CORT	8.01927224833154	7.88858147689081	8.21636597001588	7.98518433539236	8.169510861752	8.51411027007202	8.17525450751655	7.76929572588454
PEX14	8.40827407222813	8.36553669632043	8.24057538185182	8.18718573640475	8.3370112518809	8.14226807260203	8.39324492447713	8.37332418369515
TARDBP	10.7288102164221	10.792554576797	10.5975963285403	10.7341465746498	10.7123873195304	10.7987563272387	10.688092527927	10.8609140160323
ANGPTL7	7.45209087448998	7.04866839208881	7.39018611614657	7.31478916488627	7.41340902109322	7.11169249875347	7.30234273251181	7.1090811326175
UBIAD1	9.0307442667989	8.98661259202913	9.13349147413637	8.97775966844865	8.96729959348478	8.93225330695851	8.90645166414511	9.06604968666173
PTCHD2	8.16498955901859	7.98957387219943	8.26185525860641	7.94819796242071	8.16151817858729	8.36264880289072	7.94753577095013	8.12182808535424
FBXO44	8.67807540649518	8.73574881411197	8.58118954830641	8.39024522015117	8.34816785433514	8.52741911726196	8.61817664423496	8.75979647702457
FBXO6	7.4308514106401	7.31228366264891	7.67461471963193	7.06992461083707	7.35345211559944	7.02136429649978	7.35202666527748	7.32661060524765
DRAXIN	8.21028732750132	8.17181310654762	8.33523122374188	8.16704572933109	7.68216753680279	7.89528744929318	8.22208543902078	8.05926394916099
AGTRAP	7.73561806797094	7.48229648638844	7.48857870436487	7.55370326503024	7.37054883286374	6.996047406579	7.79108543258463	7.64308564209321
C1orf167	7.95317139791764	7.72811627176352	7.76776727336855	7.69205116305624	7.68997157226474	7.76475998196998	7.89490306545258	7.69203238131117
PLOD1	8.61440517944365	8.55810858500804	8.55562590099045	8.23310116027787	8.39153599658036	8.77002340928682	8.57244040810395	8.5511752373862
MFN2	9.03420327191664	9.18326424493454	8.92434967972678	9.09642522788705	8.81873269521197	8.94745370832066	9.09978464811202	9.04499797465293
MIIP	8.28546530551159	8.31068868623675	8.70246905536754	8.40033442606123	8.44522454023968	8.45690324064998	8.24877749750512	8.36986951783572
TNFRSF8	7.44339321030036	7.01489583115542	7.69502522662244	7.11145550612425	7.33690595627398	7.28228766257919	6.87181632275379	7.43351758171854
TNFRSF1B	8.01114607257183	7.79308025569969	8.13309665773145	8.00804220847635	7.71235421974618	7.9011213063442	7.6568932446859	7.99574443104584
VPS13D	6.63019027510942	7.089710937275	6.7167281709612	7.05751236343084	6.88374681104592	6.60272572190006	6.97278306395032	6.75819207007766
AADACL4	5.95502959505739	5.82770531045981	6.14273577446199	5.87387320873522	5.98608112981549	5.50097468795577	5.69660445925759	5.98276876839032
AADACL3	6.31077828068298	5.53980933441535	6.59942464236764	6.3906916810462	6.55721733949586	6.51792274716894	5.95082380744805	5.96036303461232
C1orf158	4.82172061590964	4.605527458673	5.36707099491921	5.16957212990483	5.30376893785981	4.7880052544378	4.72675491481174	4.75109007584695
PRAMEF12	6.60466550483909	6.50647809984988	7.05554493300982	6.28604636128397	6.64418315390422	6.77886835234448	6.35817363082813	6.77139963285253
PRAMEF1	4.96213467620155	4.89261335686838	5.32996592305101	5.28905457001221	5.19014981362255	5.48817848480892	4.81299911025412	5.00858970933735
PRAMEF2	5.50625403131002	5.19861525243875	6.04893360743027	5.44418695164286	5.48798100981727	5.44821125968181	5.23827493625296	5.50571721878297
PRAMEF7	6.46426493137892	5.53436967516465	6.64830671507221	6.13145732036597	6.28663414434714	6.53216613520247	5.53783641601211	6.41012550633374
PRAMEF9	6.25750472953517	5.92348329463267	7.20976529769818	6.35131057026277	6.46826405646606	6.63360614036797	5.76856176236984	6.38352918457712
PRAMEF5	8.10617987209739	7.72478777443204	8.60443917122503	8.13339437662462	8.11891284355916	8.36492325015907	7.68977596965198	8.08251143691406
PRAMEF16	5.44431668849843	4.72014446265378	5.7276634032849	5.85380116561184	5.53794024325731	6.09960556666065	5.00721113320118	5.1946986679341
PRAMEF20	5.0012911196822	4.91804081490785	5.60014147856791	5.49260473939427	5.42350772557982	5.01797595675425	4.85440697174879	4.95396927664275
PDPN	7.75183854638233	8.46069920055863	8.86022179552222	9.60502222292608	9.19421416989119	8.72782309509687	8.11870337290758	8.15895441439604
PRDM2	9.27045694992155	9.3330071861566	9.10480751717075	9.31091743167839	9.2330381115095	9.27205686656782	9.31664365798501	9.23466741016387
KAZN	7.61730686815692	8.03826743223865	8.04576229178881	7.81494404577362	7.99226384902101	8.03060258850961	7.94010405284364	7.72574089125576
TMEM51	7.51629827709284	6.99469051260217	7.48056315043213	7.39773885801539	7.42302643139434	7.16206455124281	7.06385239013857	7.41134406114561
EFHD2	8.03542628095816	7.81428097419628	8.3253419193612	7.99943559150044	7.88340912989487	8.42443997527896	7.72676745427442	8.07660166588071
CTRC	6.73180439886203	6.42669321610154	6.30889376407332	6.32115505049208	6.55709953818522	6.43798848661548	6.6040231097156	6.53549685229647
DNAJC16	8.71031337633903	8.57994788500585	8.05603569497908	8.11671755625058	8.52208014209932	8.49535595403368	8.72436224911934	8.52237236948379
